cm3,kW,km,brand,make,price,year
1400,160,197168,Volkswagen,Passat B8,16900,2016
1968,103,220000,Audi,A3,4700,2004
1968,135,210000,Volkswagen,Golf 7,14950,2014
1197,85,172303,Nissan,Juke,10900,2016
1560,68,164400,Citroen,C3,5199,2012
1560,84,139000,Citroen,DS4,8500,2013
1560,85,200000,Citroen,C4 Picasso,8490,2013
1997,133,240000,Peugeot,508,11950,2016
1685,85,189000,Kia,Sportage,10500,2011
1685,85,199000,Kia,Sportage,9399,2011
1390,103,197100,Volkswagen,Touran,7450,2010
1598,100,176500,Opel,Mokka X,13350,2017
1390,118,227000,Volkswagen,Scirocco,5390,2009
1991,110,162700,Opel,Antara,10450,2010
1986,110,190446,Audi,A3,15995,2017
1600,81,192132,Audi,A3,13995,2018
1968,100,198650,Audi,A4,11650,2013
2993,195,169500,BMW,X5,,2018
1149,55,188000,Renault,Clio,3850,2009
1560,85,194455,Citroen,DS5,10950,2016
1499,88,163684,Peugeot,2008,12450,2018
1395,81,180332,Audi,A3,,2014
1997,120,184514,Citroen,DS5,10290,2013
1197,87,169307,Renault,Captur,11950,2016
1968,81,193307,Volkswagen,Tiguan,11350,2012
1198,44,176714,Škoda,Fabia,4950,2013
1896,77,190261,Volkswagen,Caddy,7950,2009
1461,66,189760,Renault,Kangoo,10950,2017
1395,90,165536,Volkswagen,Golf 7,8650,2013
999,66,51288,Seat,Ibiza,12690,2020
1997,110,258000,Ford,Kuga,13900,2016
1968,103,285253,Volkswagen,Sharan,8599,2011
1968,103,153000,Volkswagen,Tiguan,9690,2010
1598,88,180000,Volkswagen,Passat B8,12500,2015
1242,48,174000,Fiat,Grande Punto,3800,2010
1968,103,231000,Audi,A3,5250,2009
1995,140,227238,BMW,X4,35750,2019
1995,120,152179,BMW,520,26990,2017
1995,110,183949,BMW,X1,26700,2019
1996,157,215500,Ford,Ranger,34900,2019
1998,91,204700,Toyota,RAV 4,14100,2014
1798,140,197000,Audi,A6,24900,2018
1753,74,240000,Ford,Focus,1700,2004
1598,88,154504,Volkswagen,Passat B8,16999,2017
1995,160,160000,BMW,X5,30000,2014
1397,70,180000,Citroen,C3,4500,2010
1364,66,164093,Toyota,Yaris,10900,2017
1794,83,175000,BMW,318,8500,1989
1870,96,191000,Renault,Megane,6490,2010
1896,66,167567,Volkswagen,Golf 5,4650,2008
1242,51,162000,Fiat,500,5850,2010
1598,77,180436,Audi,A1,9999,2014
1598,88,177000,Volkswagen,Passat B8,12200,2015
1995,130,263000,BMW,X3,7990,2009
1395,110,186600,Audi,A4,18990,2016
2993,150,250000,BMW,525,16000,2012
1995,140,226000,BMW,X4,23500,2016
1896,77,189093,Audi,A3,6690,2009
1461,81,182000,Nissan,Qashqai,11990,2014
1598,85,158369,Volkswagen,Golf 7,11900,2017
1560,68,187000,Citroen,C3,4090,2012
1400,66,315000,Opel,Astra G,2550,2001
1461,85,128205,Renault,Megane,14399,2019
1397,64,186000,Opel,Astra J,4590,2011
1598,77,252005,Škoda,Octavia,5650,2010
1994,110,172000,Nissan,Qashqai + 2,6950,2009
1461,85,82978,Renault,Kadjar,18590,2020
1968,140,118500,Škoda,Superb,28000,2019
1999,88,239566,Audi,A4,7399,2011
1364,66,205680,Opel,Corsa D,3490,2008
2497,130,342000,BMW,525,4400,2004
1968,103,269000,Volkswagen,Tiguan,11500,2011
1461,81,168300,Renault,Megane,10550,2017
1598,81,183224,Volkswagen,Golf 7,10800,2015
1397,96,173000,Renault,Megane,5250,2011
1461,85,187000,Mercedes Benz,A 180,16999,2018
1389,90,162326,Škoda,Octavia,5199,2009
1499,96,93000,Peugeot,5008,21900,2019
1968,88,205655,Audi,A4,171,2009
1968,105,212566,Audi,A4,171,2009
1995,105,198666,BMW,318,130,2011
1598,96,115000,Nissan,X-Trail,14800,2016
1198,40,211000,Volkswagen,Polo,2599,2007
1968,110,191000,Volkswagen,Tiguan,18500,2017
1968,125,245000,Audi,A5,11990,2010
1248,55,172000,Fiat,EVO,3999,2012
1360,55,209416,Peugeot,207,3500,2007
1248,57,159000,Hyundai,i20,4400,2011
1598,77,179000,Volkswagen,Touran,7500,2011
1968,103,239400,Audi,A6,5690,2007
1499,96,189000,Peugeot,308,10150,2019
1995,135,229000,BMW,520,9500,2011
1598,96,159500,Nissan,X-Trail,13990,2016
1560,66,210252,Peugeot,Partner,4650,2009
1248,62,190230,Fiat,EVO,4499,2011
1149,55,238000,Renault,Clio,2850,2006
1499,88,223325,Ford,Focus,7650,2016
1461,63,180042,Renault,Clio,3499,2009
1968,81,236736,Volkswagen,Passat B6,5250,2009
1968,110,71848,Škoda,Octavia,18999,2019
1956,99,125000,Fiat,Doblo,6199,2013
1995,110,118000,BMW,X1,20000,2016
2998,225,245000,BMW,X6,23950,2011
1870,88,315000,Renault,Megane,2999,2003
1997,110,173942,Peugeot,308,6890,2012
1798,118,216000,Škoda,Octavia,5000,2008
1248,55,151000,Fiat,500C,6450,2009
1397,96,151000,Renault,Megane,4890,2011
1582,100,211112,Kia,cee`d sw,9999,2018
2000,125,406000,Škoda,Superb,8850,2011
,60,33950,Smart,ForTwo,14499,2019
1598,81,187900,Volkswagen,Golf 7,12400,2016
1798,118,257000,Audi,A4,7499,2008
1896,77,175000,Seat,Altea,2750,2005
1870,95,195225,Suzuki,Grand Vitara,5390,2007
1997,120,189000,Citroen,C5,4650,2011
2987,190,191200,Mercedes Benz,ML 350,26500,2012
1500,70,125356,Ford,Focus,12500,2019
1560,66,257242,Citroen,Berlingo,4750,2010
1968,103,240000,Audi,A6,5700,2005
1422,55,196000,Volkswagen,Polo,6200,2014
1896,77,200400,Volkswagen,Golf 5,5300,2007
1598,77,211000,Volkswagen,Golf 6,6150,2010
1499,96,142650,Peugeot,3008,16989,2019
1998,102,170000,Volkswagen,Passat CC,9350,2008
1600,77,180000,Volkswagen,Golf 7,11350,2015
1349,55,169120,Mazda,2,3999,2009
